SoftwareID,Dateipfad,NameOnly,NameOnly (bool),Name,Name (bool),Bib.Ref,Bib.Ref (bool),Bib.Soft,Bib.Soft (bool),Agent,Agent (bool),URL,URL (bool),PID,PID (bool),Ver,Ver (bool)
CorrespSearch,../data/DHd-Abstracts-2018/XML-files,3,0,6,1,2,1,0,0,0,0,1,1,0,0,0,0
Transkribus,../data/DHd-Abstracts-2018/XML-files,1,0,2,1,0,0,0,0,0,0,1,1,0,0,0,0
MALLET,../data/DHd-Abstracts-2018/XML-files,0,0,2,1,0,0,2,1,2,1,2,1,0,0,0,0
CorrespSearch,../data/DHd-Abstracts-2018/XML-files,0,0,2,1,0,0,2,1,2,1,2,1,0,0,0,0
GAMS,../data/DHd-Abstracts-2018/XML-files,2,0,3,1,0,0,1,1,0,0,1,1,0,0,0,0
CATMA,../data/DHd-Abstracts-2018/XML-files,0,0,2,1,0,0,1,1,0,0,2,1,0,0,0,0
TEASys,../data/DHd-Abstracts-2018/XML-files,1,0,2,1,0,0,1,1,0,0,1,1,0,0,0,0
WissKI,../data/DHd-Abstracts-2018/XML-files,3,0,8,1,4,1,0,0,0,0,1,1,0,0,0,0
TEASys,../data/DHd-Abstracts-2018/XML-files,4,0,5,1,1,1,0,0,0,0,0,0,0,0,0,0
CorrespSearch,../data/DHd-Abstracts-2018/XML-files,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
TEASys,../data/DHd-Abstracts-2018/XML-files,6,0,8,1,2,1,0,0,0,0,0,0,0,0,0,0
MALLET,../data/DHd-Abstracts-2018/XML-files,2,0,4,1,0,0,2,1,2,1,2,1,0,0,0,0
ELAN,../data/DHd-Abstracts-2018/XML-files,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
EXMARaLDA,../data/DHd-Abstracts-2018/XML-files,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
OCRopus,../data/DHd-Abstracts-2018/XML-files,0,0,2,1,1,1,0,0,0,0,1,1,0,0,0,0
Transkribus,../data/DHd-Abstracts-2018/XML-files,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0
Stylo,../data/DHd-Abstracts-2018/XML-files,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
EXMARaLDA,../data/DHd-Abstracts-2018/XML-files,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Stylo,../data/DHd-Abstracts-2018/XML-files,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
ANNIS,../data/DHd-Abstracts-2018/XML-files,18,0,21,1,2,1,0,0,0,0,1,1,0,0,0,0
CATMA,../data/DHd-Abstracts-2018/XML-files,1,0,3,1,0,0,2,1,2,1,1,1,0,0,1,1
CorA,../data/DHd-Abstracts-2018/XML-files,1,0,3,1,2,1,0,0,0,0,0,0,0,0,0,0
WebAnno,../data/DHd-Abstracts-2018/XML-files,1,0,3,1,2,1,0,0,0,0,0,0,0,0,0,0
ANNIS,../data/DHd-Abstracts-2018/XML-files,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
ANNIS,../data/DHd-Abstracts-2018/XML-files,16,0,19,1,3,1,0,0,0,0,0,0,0,0,0,0
ELAN,../data/DHd-Abstracts-2018/XML-files,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
EXMARaLDA,../data/DHd-Abstracts-2018/XML-files,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
CorrespSearch,../data/DHd-Abstracts-2018/XML-files,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
WITTfind,../data/DHd-Abstracts-2018/XML-files,0,0,2,1,2,1,0,0,0,0,1,1,0,0,0,0
OCRopus,../data/DHd-Abstracts-2019/XML-files,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
ELAN,../data/DHd-Abstracts-2019/XML-files,0,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0
EXMARaLDA,../data/DHd-Abstracts-2019/XML-files,2,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0
WebAnno,../data/DHd-Abstracts-2019/XML-files,15,0,22,1,4,1,0,0,0,0,4,1,0,0,0,0
MAX,../data/DHd-Abstracts-2019/XML-files,3,0,5,1,0,0,0,0,1,1,1,1,0,0,0,0
ediarum,../data/DHd-Abstracts-2019/XML-files,14,0,17,1,2,1,0,0,1,1,2,1,0,0,0,0
Transkribus,../data/DHd-Abstracts-2019/XML-files,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
WITTfind,../data/DHd-Abstracts-2019/XML-files,3,0,6,1,2,1,0,0,0,0,1,1,0,0,0,0
CorA,../data/DHd-Abstracts-2019/XML-files,0,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0
WebAnno,../data/DHd-Abstracts-2019/XML-files,0,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0
CorrespSearch,../data/DHd-Abstracts-2019/XML-files,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ELAN,../data/DHd-Abstracts-2019/XML-files,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
CATMA,../data/DHd-Abstracts-2019/XML-files,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
GAMS,../data/DHd-Abstracts-2019/XML-files,0,0,3,1,2,1,0,0,1,1,0,0,0,0,0,0
LERA,../data/DHd-Abstracts-2019/XML-files,0,0,2,1,0,0,0,0,2,1,2,1,0,0,0,0
XTriples,../data/DHd-Abstracts-2019/XML-files,3,0,4,1,0,0,0,0,0,0,1,1,0,0,0,0
ELAN,../data/DHd-Abstracts-2019/XML-files,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
CorrespSearch,../data/DHd-Abstracts-2019/XML-files,9,0,12,1,1,1,0,0,0,0,2,1,0,0,0,0
VAnnotatoR,../data/DHd-Abstracts-2019/XML-files,13,0,16,1,3,1,0,0,0,0,0,0,0,0,0,0
FuD,../data/DHd-Abstracts-2019/XML-files,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
GAMS,../data/DHd-Abstracts-2019/XML-files,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Transkribus,../data/DHd-Abstracts-2019/XML-files,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
OSDS,../data/DHd-Abstracts-2019/XML-files,14,0,17,1,1,1,0,0,1,1,2,1,0,0,0,0
WebLicht,../data/DHd-Abstracts-2019/XML-files,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0
XTriples,../data/DHd-Abstracts-2019/XML-files,1,0,3,1,0,0,0,0,0,0,2,1,0,0,0,0
OCRopus,../data/DHd-Abstracts-2019/XML-files,2,0,4,1,2,1,0,0,0,0,0,0,0,0,0,0
CATMA,../data/DHd-Abstracts-2019/XML-files,1,0,3,1,0,0,2,1,2,1,0,0,0,0,1,1
MALLET,../data/DHd-Abstracts-2019/XML-files,0,0,2,1,0,0,0,0,0,0,2,1,0,0,0,0
WissKI,../data/DHd-Abstracts-2019/XML-files,1,0,2,1,0,0,0,0,0,0,1,1,0,0,0,0
CATMA,../data/DHd-Abstracts-2019/XML-files,13,0,18,1,0,0,0,0,0,0,1,1,0,0,4,1
CorrespSearch,../data/DHd-Abstracts-2019/XML-files,0,0,2,1,1,1,0,0,0,0,1,1,0,0,0,0
MALLET,../data/DHd-Abstracts-2019/XML-files,0,0,3,1,1,1,0,0,0,0,2,1,0,0,0,0
Stylo,../data/DHd-Abstracts-2019/XML-files,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0
WebLicht,../data/DHd-Abstracts-2019/XML-files,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0
OCRopus,../data/DHd-Abstracts-2019/XML-files,10,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0
CATMA,../data/DHd-Abstracts-2019/XML-files,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0
DiaCollo,../data/DHd-Abstracts-2019/XML-files,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0
CorrespSearch,../data/DHd-Abstracts-2019/XML-files,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ANNIS,../data/DHd-Abstracts-2019/XML-files,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
MALLET,../data/DHd-Abstracts-2019/XML-files,0,0,2,1,0,0,2,1,2,1,2,1,0,0,1,1
Stylo,../data/DHd-Abstracts-2019/XML-files,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
MALLET,../data/DHd-Abstracts-2019/XML-files,0,0,2,1,0,0,2,1,2,1,2,1,0,0,0,0
Transkribus,../data/DHd-Abstracts-2019/XML-files,15,0,18,1,1,1,0,0,0,0,2,1,0,0,0,0
CATMA,../data/DHd-Abstracts-2019/XML-files,1,0,3,1,0,0,2,1,2,1,1,1,0,0,1,1
CorrespSearch,../data/DHd-Abstracts-2019/XML-files,0,0,2,1,1,1,0,0,0,0,1,1,0,0,0,0
CATMA,../data/DHd-Abstracts-2020/XML-files,15,0,19,1,0,0,0,0,0,0,1,1,0,0,3,1
CATMA,../data/DHd-Abstracts-2020/XML-files,1,0,3,1,0,0,2,1,2,1,0,0,1,1,1,1
WITTfind,../data/DHd-Abstracts-2020/XML-files,8,0,13,1,3,1,0,0,0,0,2,1,0,0,0,0
MALLET,../data/DHd-Abstracts-2020/XML-files,0,0,2,1,0,0,2,1,2,1,2,1,0,0,0,0
CATMA,../data/DHd-Abstracts-2020/XML-files,0,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0
Gephi,../data/DHd-Abstracts-2020/XML-files,4,0,6,1,2,1,0,0,0,0,0,0,0,0,0,0
GAMS,../data/DHd-Abstracts-2020/XML-files,4,0,6,1,0,0,0,0,1,1,2,1,0,0,0,0
WebLicht,../data/DHd-Abstracts-2020/XML-files,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0
WebLicht,../data/DHd-Abstracts-2020/XML-files,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
WissKI,../data/DHd-Abstracts-2020/XML-files,2,0,4,1,2,1,0,0,0,0,1,1,0,0,0,0
FuD,../data/DHd-Abstracts-2020/XML-files,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
OCRopus,../data/DHd-Abstracts-2020/XML-files,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Opaque,../data/DHd-Abstracts-2020/XML-files,20,1,20,1,0,0,0,0,0,0,0,0,0,0,0,0
GAMS,../data/DHd-Abstracts-2020/XML-files,0,0,2,1,0,0,0,0,1,1,2,1,0,0,0,0
Transkribus,../data/DHd-Abstracts-2020/XML-files,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0
LERA,../data/DHd-Abstracts-2020/XML-files,3,0,6,1,1,1,0,0,0,0,2,1,0,0,0,0
WissKI,../data/DHd-Abstracts-2020/XML-files,0,0,4,1,3,1,1,1,0,0,1,1,0,0,0,0
GAMS,../data/DHd-Abstracts-2020/XML-files,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0
Transkribus,../data/DHd-Abstracts-2020/XML-files,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0
CorrespSearch,../data/DHd-Abstracts-2020/XML-files,1,0,3,1,1,1,0,0,0,0,1,1,0,0,0,0
GAMS,../data/DHd-Abstracts-2020/XML-files,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Stylo,../data/DHd-Abstracts-2020/XML-files,7,0,8,1,0,0,0,0,0,0,1,1,0,0,0,0
ediarum,../data/DHd-Abstracts-2020/XML-files,1,0,3,1,0,0,0,0,0,0,2,1,0,0,0,0
GAMS,../data/DHd-Abstracts-2020/XML-files,1,0,2,1,0,0,1,1,0,0,1,1,0,0,0,0
OCRopus,../data/DHd-Abstracts-2020/XML-files,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0
CATMA,../data/DHd-Abstracts-2020/XML-files,13,0,26,1,0,0,0,0,0,0,1,1,0,0,13,1
Transkribus,../data/DHd-Abstracts-2020/XML-files,6,0,10,1,3,1,1,1,0,0,1,1,0,0,0,0
ELAN,../data/DHd-Abstracts-2020/XML-files,1,0,2,1,0,0,0,0,0,0,1,1,0,0,0,0
MALLET,../data/DHd-Abstracts-2020/XML-files,3,0,5,1,0,0,2,1,2,1,2,1,0,0,0,0
ediarum,../data/DHd-Abstracts-2020/XML-files,1,0,3,1,0,0,0,0,0,0,2,1,0,0,0,0
Gephi,../data/DHd-Abstracts-2020/XML-files,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
OCRopus,../data/DHd-Abstracts-2020/XML-files,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0
ANNIS,../data/DHd-Abstracts-2020/XML-files,3,0,5,1,2,1,0,0,0,0,1,1,0,0,1,1
WebAnno,../data/DHd-Abstracts-2020/XML-files,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
WebLicht,../data/DHd-Abstracts-2020/XML-files,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
WissKI,../data/DHd-Abstracts-2020/XML-files,3,0,5,1,0,0,0,0,0,0,2,1,0,0,0,0
OCRopus,../data/DHd-Abstracts-2020/XML-files,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Gephi,../data/DHd-Abstracts-2020/XML-files,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Stylo,../data/DHd-Abstracts-2020/XML-files,8,0,9,1,1,1,0,0,0,0,0,0,0,0,0,0
Stylo,../data/DHd-Abstracts-2020/XML-files,0,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0
CATMA,../data/DHd-Abstracts-2020/XML-files,0,0,2,1,0,0,0,0,0,0,1,1,0,0,1,1
MALLET,../data/DHd-Abstracts-2020/XML-files,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
WissKI,../data/DHd-Abstracts-2020/XML-files,8,0,9,1,0,0,0,0,0,0,1,1,0,0,0,0
WissKI,../data/DHd-Abstracts-2020/XML-files,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0
WITTfind,../data/DHd-Abstracts-2020/XML-files,2,0,5,1,2,1,0,0,0,0,1,1,0,0,0,0
Transkribus,../data/DHd-Abstracts-2020/XML-files,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
WebAnno,../data/DHd-Abstracts-2020/XML-files,0,0,2,1,0,0,0,0,0,0,2,1,0,0,0,0
